	Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells
ABL2	5.06467573252043	4.70326783697298	4.68630278783143	2.64674991335865	1.95483454664853	6.00633136435347
ABLIM1	69.4222407615513	128.123871162419	96.9280033128745	0.125065396536	1.18959791149032	67.5266520059067
ABLIM2	1.34180207033938	1.72499439255064	1.26583410138667	0.10422061325483	0	0.843196336907363
ABLIM3	0	0	0	0.0729551868799517	0	0.025858544010165
ABO	0	0.051344506492644	0	0.520999634499659	0	0.0982812900335113
ABR	28.7405092773147	27.9787960988383	28.7068584198356	60.0756323823687	80.8387829643949	66.9351484908741
ABRA	0.050843885133698	0	0	0.0208423717619033	0	0.0362114963011839
ABRACL	25.3525721326635	69.9494321785189	52.453317058691	85.4418837481695	18.5349103777965	52.1239094372265
ABT1	21.545792155979	31.1112465801648	41.4291536947986	18.3624462007917	13.2648704319331	51.4173137432527
ABT1P1	0	0	0	0	0	0
ABTB1	106.778707715114	113.621544539087	110.84114904833	164.03477690443	1805.18947501186	145.992400539502
ABTB2	0.416792350540656	0.297740524635751	0.320398796319863	1.47779039666378	2.13488227323147	0.801922612865576
AC000003.1	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0
AC000029.2	0	0	0	0	0	0
AC000032.1	0.2846742842739	0.292702961693884	0.160157980694213	0	0	0.68287281278909
AC000035.3	0	0	0	0	0	0
AC000036.4	0	0	0	0	0	0
AC000036.5	0	0	0	0	0	0
AC000041.8	0	0	0	2.13091812030706	0	2.08995366094678
AC000067.1	0	0	0	0	0	0
AC000068.5	0.67633102446616	0.441580177223024	0.470189032973153	0.104215825642283	0.132763262213413	0.599949860646292
AC000077.2	0	0	0	0	0	0
AC000078.5	1.55060101327228	1.47869538041837	1.57065384174796	2.24585612347916	0	1.85162923397208
AC000079.1	1.75862722669659	1.04232985633994	1.4156707101097	1.19332187411125	1.57185349283866	2.85047575280998
AC000081.2	0	0	0	0	0	0
AC000082.1	0.132157475453738	0.107835713917115	0.124024389944802	0.125067401715308	0.0743533458979746	0.258599989356797
AC000089.3	0	0	0	0	0	0.284541868679979
AC000093.1	0	0	0	0	0	0
AC000093.3	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0
AC000110.1	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0
AC000120.7	0.843853270649838	0.790799193793331	0.893896548714202	0.291796506114037	0.191260470665126	1.62431796288909
AC000123.4	3.3496443546503	2.27990845886788	1.78252017243769	1.14629085179421	1.30641422538697	6.57103257417053
AC000124.1	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0
AC000364.1	0	0	0	0	0	0
AC000367.1	0	0	0	0.036473725065887	0	0
AC000370.2	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0
AC002055.1	6.32336784185701	3.33236580989468	2.82139433997537	3.10577216560754	3.34635705439525	6.99473677244214
AC002056.3	0	0	0	0	0	0
AC002056.5	0	0	0	0	0	0
AC002064.4	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	0
AC002069.5	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0
AC002073.1	0	0	0	0	0	0
AC002073.2	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0
AC002075.4	0.37618489555143	0.14892039219189	0.253177061991013	0	0	0
AC002076.10	0	0	0	0	0	0
AC002094.1	0	0	0	0	0	0
AC002094.3	0	0	0	0	0	0
AC002094.4	0	0	0	0	0	0
AC002094.5	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0
AC002115.6	22.8071837447016	21.359270383532	20.1468352262496	3.24102459697439	0.387811611743542	19.6054251817103
