	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
C9orf50	0	0	0.0559398050247961	0.156354082823703	0	0	0
C9orf53	0	0	0	0.0139590096425162	0	0	0
C9orf57	0	0	0	0.0489900374536058	0	0	0
C9orf62	0	0	2.2679325362222	0.314045497857788	0	0	0
C9orf64	6.93076986750466	9.13506455345511	11.5539283951898	20.9255674619698	6.35007315192817	22.2549903820189	34.5038269956917
C9orf66	13.9244169475317	2.03749701382635	4.82468172070684	8.13981630760026	2.0673396004325	8.49667441316467	10.0891347914926
C9orf69	0	0.0975013621789409	6.49228896683822	7.16262709451838	0	8.27039168982432	20.2417244784121
C9orf72	113.668198360376	6.07237909938001	16.0611440107439	25.8261016723138	0	80.6640176283423	62.1335517886099
C9orf78	45.3288829802305	98.6387713006595	164.792506631425	139.699336581609	55.9581402234378	62.1945028519819	201.014989771413
C9orf84	0.14515003372963	0	1.65216805769426	1.08456416653316	0	0.0335381213092781	0.048386330382034
C9orf85	29.9030101424586	22.2738174337905	39.2942596973929	48.3462956770539	11.4854686223007	20.3972313457488	32.1065804646692
C9orf89	9.20891651874376	19.8542273365107	47.9363084138567	22.0682114952339	0	36.0940321659814	64.2340861778113
C9orf9	0.219816251716348	39.3524498258154	6.3533435579989	1.20786835600946	0	0	0
C9orf91	7.65528413613318	0.952522105004044	6.90565502598178	6.5090087082096	3.24729964687275	11.7836140450136	3.77039541355309
C9orf92	0	0	0	0	0	0	0
C9orf96	0	0	0.0747861062841598	0.0313817820591647	0	0.204882515853226	0
CA1	1.45865782657843	0	0	0.0181499657787167	0	0	1.28295386753353
CA10	0.29225261353329	0	0.0773938988908434	0.0467862282487566	0	0	0
CA11	0.229183870506858	0	7.49829021588165	4.9465589244886	0	4.87464640930467	0
CA12	0.218376586041648	85.1596000727903	0.274012407467558	0.469321150027102	0	2.6908344270489	0.823572970016852
CA13	7.39492977773168	2.78759878729043	4.57513152673435	4.85841177458671	5.46003309843742	4.05941286410511	4.8924666309725
CA14	0.145146578416374	0	3.3728701201982	7.58282895395678	1.09632521990197	0.0731698687884299	24.0065257215787
CA2	0.902677578439603	0	0	0.100801825344809	172.858914331124	27.7942708568454	0
CA3	0	0	3.07408958027356	0.0980488268629409	0	0.0991433949043627	38.1580077181463
CA4	0	0	0	0.00767121819701649	0	0	0
CA5A	0.07047885180015	0	0.6430327977111	1.27900741535133	0	0.0729262414152749	0
CA5B	23.7898205067343	5.85766115763477	49.0119249235394	39.6290293930765	24.6277803174919	10.5150061031175	41.2222400992792
CA5BP1	39.1123258761501	2.67618731640996	17.713159162957	10.3865844313405	0	14.3384125719836	53.1205017988128
CA6	0	0	0.0579999252168171	0	0	0	0
CA7	0	0	0.317945812875984	0.00403035020402527	0	0	0
CA8	2.27421477287927	0	0.12193637406069	2.94880145217398	0	0.0597540593243569	0
CA9	0	0	0	0.109929111221605	0	0	0
CAAP1	5.91611187239779	13.2111923687686	15.0251105613462	25.7425562568422	10.1327102357615	2.83426660584425	6.29380331929767
CAB39	7.47660886009257	3.17881836450235	45.4296679985156	39.0546115945373	0.0590898462550853	17.4483177583742	16.2989932774127
CAB39L	0.861536698034873	36.5296015946958	1.39286556139023	3.44831902546292	0	0.947919152154919	11.7686746701748
CABIN1	4.71326139456894	5.83355826113132	14.3743967679747	18.4482979039171	9.91357267953216	5.01486208124037	13.9918503214249
CABLES1	0.34561321173759	1.54126227347783	3.35982487448866	0.39050020505057	1.40635653203396	2.92491301171912	2.51554988013586
CABLES2	5.00003931487182	0	0.684935607063459	4.65380130673417	0	0.0951218588251956	0
CABP1	0	0	0.273697224639206	0.0590002134628436	0	0	0
CABP2	0	0	0	0.0334472218442668	0	0	0
CABP4	25.8731539363196	14.5239970502606	38.5933276940751	35.1430588979719	15.855866232703	13.6150155310701	29.9171654175587
CABP5	0.452070644669685	0.0799993769685389	1.10675077511556	1.64166215289999	0	0.18805057441087	0.163227936612674
CABP7	0.227718472415163	1.71250420535647	3.32231783970024	0.903498848715397	0	0.249017812465454	0
CABS1	0	0	0.470478314150849	0.0262971109035027	0	0	0
CABYR	0	50.8571820359969	0	1.19066006323504	0	0.100732095029112	0
CACFD1	8.93619978222988	6.38861513477502	1.99045413463804	7.39075796490099	53.2354646846261	4.71955048733147	14.9424179589413
CACHD1	0	6.34254624777287	0.330539175101581	0.0172094379645231	5.84829913487135	0.0962174614889536	0.627143395560887
CACNA1A	0.542059882079682	0	0.115573536866045	0.0344375984633329	0	0	0.0261295148502315
CACNA1B	0	0	0.0911483865347538	0.124862527788356	0	0	0
CACNA1C	0.0419340221609948	6.91351559816018	0.222967775140314	0.334400978621646	1.99268845219684	0	0.113552312714853
CACNA1C-AS1	1.6775579119327	6.08009774650911	1.09529635925289	1.12099293614305	4.20473918690253	0	0.549024778633118
CACNA1C-AS4	0	0	0	0	0	0	0
CACNA1C-IT3	0	0	0	0	0	0	0
CACNA1D	4.16746022373411	0	0.100545910555446	0.0980347971478493	0	0	0
